Order ID,Order Date,Order Priority,Order Quantity,Discount,Ship Mode,CustID,ProductID,Ship Date
31111,8/25/2016 22:56,Not Specified,8,0.007,Delivery Truck,6,BP11290113,8/27/2016 21:50
31364,5/1/2016 3:20,Not Specified,8,0.005,Delivery Truck,28,BD11560139,5/25/2016 12:36
31781,1/17/2016 5:42,Medium,9,0.021,Express Air,12,AB1001527,1/26/2016 20:59
31781,1/16/2016 23:35,Medium,6,0.018,Express Air,12,PK190757,1/22/2016 8:17
33888,8/20/2016 20:52,Not Specified,12,0.015,Express Air,52,CC125507,8/25/2016 7:11
33888,8/20/2016 14:44,Not Specified,10,0.018,Express Air,52,MM1792027,9/5/2016 12:56
33888,8/21/2016 19:26,Not Specified,13,0.007,Delivery Truck,52,AB101057,9/16/2016 23:04
34177,8/16/2016 1:13,High,8,0.002,Express Air,63,CM1271582,8/28/2016 16:46
34177,8/16/2016 10:54,High,14,0.001,Express Air,63,JB1600059,8/22/2016 10:35
34177,8/15/2016 5:34,High,8,0,Express Air,63,BF1100558,8/27/2016 3:34
34631,10/24/2016 8:02,Not Specified,6,0.007,Express Air,44,CD1228058,10/25/2016 22:34
34631,10/24/2016 3:33,Not Specified,4,0.006,Express Air,44,DB13210139,10/27/2016 0:23
35847,1/31/2016 10:52,Critical,8,0.013,Express Air,21,BN11470130,2/21/2016 20:29
36707,11/29/2016 14:50,Medium,8,0.002,Express Air,57,JD16150139,12/9/2016 5:02
37793,11/8/2016 4:50,Not Specified,4,0.024,Express Air,25,GT14710120,12/6/2016 13:28
39846,2/27/2016 15:35,Low,14,0.005,Express Air,61,AS1028558,3/17/2016 20:50
40160,10/15/2016 18:31,Critical,8,0.011,Express Air,20,BT1153058,11/10/2016 20:16
40518,3/13/2016 3:48,Critical,12,0.004,Express Air,9,BM165060,3/27/2016 18:49
40902,7/7/2016 12:46,Low,8,0.004,Express Air,62,MG1820558,7/27/2016 8:53
41153,3/3/2016 4:23,Medium,11,0.012,Express Air,18,MZ751560,3/5/2016 20:44
41696,7/13/2016 22:03,Not Specified,9,0.016,Express Air,50,GP1474058,7/17/2016 11:19
42981,5/30/2016 4:08,Critical,12,0.003,Express Air,62,DB3360146,6/25/2016 22:34
43330,4/28/2016 0:22,Not Specified,8,0.003,Express Air,53,JC157757,5/23/2016 5:22
44708,7/27/2016 14:51,Not Specified,11,0.006,Express Air,11,CD1192045,8/24/2016 15:04
44772,4/1/2016 0:32,Not Specified,8,0.006,Express Air,25,CP1234058,4/28/2016 20:00
47943,11/15/2016 2:57,Medium,12,0.008,Express Air,15,FH14365120,12/12/2016 0:34
47943,11/14/2016 4:51,Medium,4,0.015,Express Air,15,BF1097545,12/4/2016 4:17
48295,11/24/2016 20:02,Medium,14,0.007,Express Air,50,CJ1201027,12/12/2016 11:28
49154,3/6/2016 12:57,Medium,8,0.014,Express Air,32,SL2015582,3/25/2016 13:35
50374,5/31/2016 12:32,Not Specified,9,0,Express Air,62,BB1154548,6/30/2016 15:32
50754,12/10/2016 5:41,Not Specified,10,0.024,Express Air,47,CS1184558,12/14/2016 18:52
52386,1/6/2016 11:58,High,8,0.011,Delivery Truck,62,SC102302,1/19/2016 1:35
53511,2/20/2016 21:38,Medium,9,0.009,Express Air,43,AB1001527,3/14/2016 4:55
53511,2/21/2016 21:08,Medium,14,0.011,Express Air,43,DK13090120,3/11/2016 13:56
53797,10/1/2016 15:48,Critical,8,0.025,Delivery Truck,41,HG1502559,10/8/2016 23:45
54567,8/3/2016 21:58,Medium,8,0.015,Express Air,24,BP11230120,9/1/2016 4:15
55298,8/2/2016 1:46,Critical,8,0,Delivery Truck,50,JM1525027,8/9/2016 19:39
55875,11/25/2016 23:13,Critical,9,0.012,Express Air,23,TS1143085,12/12/2016 18:32
55875,11/25/2016 7:30,Critical,13,0.019,Express Air,23,TS2134018,12/12/2016 23:31
57509,2/22/2016 22:04,Low,13,0.001,Express Air,8,FG1426045,3/10/2016 12:20
57509,2/22/2016 3:02,Low,14,0.01,Delivery Truck,8,KN670560,2/27/2016 15:02
58144,12/16/2016 18:49,Low,10,0.009,Express Air,1,AB10523,1/11/2017 7:26
58434,3/9/2016 14:08,High,10,0.001,Express Air,7,JF1529531,3/11/2016 12:06
58688,3/30/2016 11:23,Not Specified,8,0.017,Express Air,17,KH16510102,4/13/2016 7:32
59207,5/19/2016 10:34,Critical,8,0.022,Delivery Truck,12,LS1720045,6/10/2016 5:57
645,12/3/2016 19:05,High,9,0.006,Express Air,65,DK1309027,12/22/2016 21:25
4454,2/2/2016 6:50,Low,8,0.013,Delivery Truck,71,MM8280108,2/11/2016 3:41
5446,6/21/2016 15:14,Low,6,0.022,Delivery Truck,68,GH144257,7/7/2016 10:03
8994,4/7/2016 15:54,Low,8,0.005,Delivery Truck,72,CM1211564,4/27/2016 4:06
10851,4/7/2016 15:22,High,6,0.004,Delivery Truck,75,CR1273028,4/13/2016 4:58
12934,3/6/2016 21:40,Not Specified,8,0.013,Delivery Truck,68,EJ13720113,4/4/2016 0:25
12934,3/5/2016 17:48,Not Specified,8,0.014,Express Air,68,MS1736539,4/2/2016 4:48
13120,12/14/2016 17:14,Low,4,0.002,Delivery Truck,73,DK1309027,12/26/2016 14:25
13120,12/15/2016 20:48,Low,8,0.016,Delivery Truck,73,KD1627018,12/23/2016 20:53
13604,2/3/2016 23:05,Not Specified,4,0.01,Delivery Truck,71,DH13675139,2/18/2016 20:05
13604,2/3/2016 2:14,Not Specified,4,0.012,Delivery Truck,71,HE1480018,3/4/2016 19:38
13927,8/26/2016 3:42,Low,8,0.008,Express Air,78,SB2017027,8/31/2016 3:00
15139,11/20/2016 20:09,High,8,0.008,Delivery Truck,68,JM1525027,11/27/2016 5:45
15139,11/19/2016 22:20,High,12,0.006,Delivery Truck,68,BC1112592,12/1/2016 15:33
16419,8/5/2016 9:20,Not Specified,13,0.025,Delivery Truck,73,RD19585120,9/1/2016 22:19
17315,4/22/2016 7:51,Low,8,0.019,Delivery Truck,73,BT1168066,5/9/2016 22:03
18788,10/3/2016 21:33,Not Specified,4,0.017,Delivery Truck,73,JW5220111,10/20/2016 9:29
19042,3/1/2016 6:52,Critical,11,0.021,Delivery Truck,74,JH1618059,3/7/2016 10:38
19073,6/24/2016 16:42,Not Specified,8,0.023,Delivery Truck,81,CC1214548,7/12/2016 10:00
19073,6/25/2016 17:49,Not Specified,4,0.019,Express Air,81,AH10075140,7/13/2016 21:32
22695,7/4/2016 16:57,Low,8,0.008,Delivery Truck,73,CP2085117,8/2/2016 2:47
23076,5/27/2016 16:18,Critical,14,0.007,Delivery Truck,78,JK5730108,5/28/2016 6:01
26240,12/20/2016 2:22,Critical,8,0.007,Delivery Truck,4,DP310586,1/12/2017 9:07
26240,12/20/2016 0:59,Critical,7,0,Delivery Truck,4,SC2009545,1/13/2017 1:27
29319,1/25/2016 4:34,Low,9,0.008,Delivery Truck,80,DL129257,2/19/2016 17:24
29319,1/24/2016 23:46,Low,8,0.011,Express Air,80,FM1429065,2/5/2016 12:35
32199,7/16/2016 18:10,High,7,0.017,Delivery Truck,71,ME17320139,7/19/2016 3:28
32199,7/16/2016 10:29,High,8,0.014,Delivery Truck,71,CS1249082,8/14/2016 0:04
32199,7/15/2016 4:14,High,9,0.006,Delivery Truck,71,AF1088558,8/3/2016 3:15
32676,2/1/2016 22:49,Critical,14,0.023,Delivery Truck,73,MB1808545,2/10/2016 12:06
32869,3/27/2016 23:17,Medium,8,0.005,Delivery Truck,72,VT2170018,3/31/2016 10:05
32869,3/27/2016 21:37,Medium,8,0.013,Delivery Truck,72,BS1166545,4/3/2016 14:33
32869,3/27/2016 20:35,Medium,8,0.008,Delivery Truck,72,TC2114582,4/14/2016 19:46
32869,3/27/2016 14:04,Medium,8,0.013,Delivery Truck,72,SJ2021527,4/9/2016 11:33
34275,7/2/2016 3:19,Low,4,0.004,Delivery Truck,77,TA21385102,7/19/2016 0:48
34880,9/17/2016 10:52,High,13,0.025,Delivery Truck,83,LM7065105,9/18/2016 11:44
35558,9/16/2016 11:24,Critical,10,0.004,Delivery Truck,4,EG1390045,9/25/2016 1:47
36677,12/23/2016 12:46,Low,8,0.017,Delivery Truck,54,CL1189018,1/14/2017 0:59
37888,12/22/2016 23:33,Critical,9,0.021,Delivery Truck,76,CA12265139,1/5/2017 1:56
40835,11/25/2016 19:18,High,14,0.008,Delivery Truck,69,DK1315048,12/4/2016 14:57
40835,11/25/2016 17:23,High,14,0.01,Delivery Truck,69,CM1211564,12/24/2016 21:38
40835,11/25/2016 13:59,High,8,0.003,Delivery Truck,69,KS163007,12/24/2016 18:48
44387,2/4/2016 16:53,Low,4,0.016,Express Air,71,JM1586597,2/23/2016 17:03
44387,2/5/2016 20:21,Low,7,0.016,Delivery Truck,71,MC1757518,2/12/2016 2:46
44576,12/26/2016 21:34,Not Specified,9,0.008,Delivery Truck,77,DV1304559,12/29/2016 8:39
46119,2/15/2016 4:05,Critical,7,0.016,Delivery Truck,4,AH1007523,3/10/2016 18:34
46119,2/15/2016 21:48,Critical,6,0.017,Delivery Truck,4,JF541586,2/27/2016 23:58
46119,2/16/2016 14:16,Critical,8,0.017,Delivery Truck,4,AH1021018,2/23/2016 22:21
46756,10/12/2016 6:19,Medium,10,0.008,Delivery Truck,81,PO1919527,11/10/2016 23:18
47876,12/26/2016 18:27,High,9,0.015,Delivery Truck,77,PO191957,1/2/2017 16:35
48199,1/19/2016 1:58,Not Specified,12,0.017,Delivery Truck,71,RH9555129,2/15/2016 0:52
49216,3/20/2016 10:40,High,14,0.023,Delivery Truck,86,KD1627018,3/27/2016 4:16
49216,3/20/2016 22:07,High,4,0.013,Delivery Truck,86,NL1831092,4/13/2016 9:49
49216,3/20/2016 6:26,High,8,0.02,Express Air,86,PG1889582,4/1/2016 14:29
49990,9/6/2016 2:29,Not Specified,8,0.009,Delivery Truck,74,DJ1342082,9/15/2016 23:47
50081,11/3/2016 9:14,Not Specified,13,0.014,Delivery Truck,68,LC1705051,11/22/2016 4:33
50850,5/6/2016 12:09,Critical,9,0.025,Delivery Truck,77,JH1618059,5/8/2016 12:18
50850,5/7/2016 8:28,Critical,9,0.023,Delivery Truck,77,AH1021018,5/20/2016 5:20
53410,8/7/2016 2:04,Critical,12,0.003,Delivery Truck,72,NF1838582,8/18/2016 1:15
53508,11/10/2016 13:40,High,12,0.018,Delivery Truck,73,AF1087048,12/4/2016 16:10
53508,11/11/2016 3:39,High,4,0.018,Delivery Truck,73,IM5055106,12/9/2016 14:56
53508,11/10/2016 4:23,High,6,0.019,Delivery Truck,73,AS285108,11/18/2016 6:19
54753,4/18/2016 8:45,Medium,6,0.004,Delivery Truck,72,AG1033059,5/16/2016 13:24
55138,9/24/2016 18:06,High,3,0.022,Delivery Truck,84,CK1220564,10/10/2016 7:28
56803,12/11/2016 17:48,Not Specified,4,0.001,Delivery Truck,4,KN164507,12/31/2016 21:23
57507,6/27/2016 16:25,Critical,12,0.019,Delivery Truck,85,DK1315048,7/4/2016 5:56
1028,1/6/2016 20:23,High,8,0.014,Delivery Truck,90,KN163907,1/21/2016 23:42
1028,1/5/2016 16:41,High,4,0.008,Delivery Truck,90,JK1532545,1/15/2016 0:15
1314,5/12/2016 15:14,Medium,11,0.006,Delivery Truck,91,SV2078559,6/7/2016 16:54
2530,3/21/2016 16:24,Medium,7,0.001,Delivery Truck,92,CM124457,4/2/2016 8:48
6434,6/7/2016 12:29,High,13,0.024,Delivery Truck,92,TW2102527,6/20/2016 12:09
7136,3/22/2016 0:16,High,9,0.016,Delivery Truck,94,DP310586,4/19/2016 14:53
7136,3/23/2016 12:06,High,13,0.013,Delivery Truck,94,FG1426045,3/25/2016 23:02
10310,2/5/2016 18:22,Low,9,0.007,Delivery Truck,93,ME1732064,2/24/2016 10:14
10310,2/6/2016 7:27,Low,9,0.009,Delivery Truck,93,KM1637548,3/5/2016 9:12
10692,7/27/2016 12:04,Low,11,0.012,Delivery Truck,92,HM14860125,8/5/2016 8:07
10692,7/27/2016 7:23,Low,4,0.007,Delivery Truck,92,BO1142582,8/13/2016 20:08
10692,7/27/2016 2:12,Low,11,0.015,Delivery Truck,92,SP20920130,8/21/2016 16:04
11553,4/18/2016 7:28,Medium,14,0.013,Express Air,91,CC247587,5/7/2016 13:29
11553,4/18/2016 1:34,Medium,5,0.015,Delivery Truck,91,JB1600048,5/1/2016 4:36
11553,4/18/2016 6:55,Medium,6,0.002,Delivery Truck,91,JM1525045,4/29/2016 6:18
18247,11/6/2016 3:31,Not Specified,9,0.023,Express Air,92,TS1143085,11/27/2016 23:53
18471,2/19/2016 1:37,Not Specified,14,0.013,Express Air,91,SB2018518,3/16/2016 3:54
18471,2/20/2016 15:30,Not Specified,8,0.004,Express Air,91,MT1807045,2/26/2016 5:32
18471,2/20/2016 16:08,Not Specified,9,0.021,Express Air,91,JF15415139,3/11/2016 3:14
20322,6/29/2016 7:02,Critical,8,0.016,Express Air,100,BD163561,7/24/2016 16:40
20322,6/29/2016 13:52,Critical,4,0.015,Delivery Truck,100,AB10165140,7/12/2016 17:48
20322,6/28/2016 1:54,Critical,13,0.016,Express Air,100,ES14020120,7/21/2016 13:28
20422,1/26/2016 19:56,High,9,0.022,Express Air,96,MR175457,2/15/2016 5:33
24132,7/7/2016 20:49,Low,12,0.013,Express Air,91,CA1277558,7/12/2016 6:14
24132,7/7/2016 14:05,Low,11,0.014,Express Air,91,MG1820558,7/10/2016 18:45
24132,7/6/2016 18:36,Low,12,0.018,Express Air,91,LC7050110,7/18/2016 22:11
24132,7/6/2016 15:08,Low,12,0.005,Express Air,91,AF1087018,7/13/2016 4:16
24132,7/6/2016 17:16,Low,10,0.024,Express Air,91,AR1051064,7/10/2016 22:41
24132,7/7/2016 23:26,Low,12,0.016,Express Air,91,KB1631578,7/8/2016 13:03
25475,4/4/2016 21:54,Critical,10,0.002,Express Air,94,AS1063092,4/10/2016 22:03
28839,4/28/2016 16:00,Low,3,0.011,Express Air,43,SM1032029,5/18/2016 15:51
29252,8/7/2016 2:35,Low,12,0.019,Express Air,43,LM7065105,8/29/2016 6:41
31941,3/19/2016 20:04,Medium,12,0.012,Express Air,95,EL137357,3/26/2016 13:56
31941,3/19/2016 7:32,Medium,9,0,Express Air,95,DA1345055,3/20/2016 5:59
32418,1/6/2016 1:27,Not Specified,4,0.009,Delivery Truck,98,RL196157,1/22/2016 20:32
36068,2/6/2016 23:51,Critical,8,0.004,Delivery Truck,43,AS10090139,2/13/2016 20:18
38021,1/21/2016 14:11,Medium,12,0.015,Express Air,92,CM1830117,2/5/2016 20:17
38565,3/26/2016 17:18,Critical,11,0.009,Express Air,91,CC1214548,4/17/2016 1:58
44320,4/29/2016 20:55,Medium,11,0.02,Express Air,97,MS7830110,5/22/2016 5:01
48388,8/10/2016 4:19,High,13,0.007,Express Air,98,CD1279048,8/21/2016 3:37
49059,9/21/2016 19:01,Medium,12,0.018,Express Air,102,JB5400117,9/27/2016 22:04
49059,9/20/2016 1:06,Medium,12,0.005,Express Air,102,PO1886545,9/22/2016 4:45
50816,3/28/2016 5:41,High,13,0.003,Express Air,43,MH1811558,4/6/2016 1:46
50816,3/27/2016 18:38,High,13,0.014,Express Air,43,DB3660107,3/29/2016 9:58
50816,3/27/2016 18:33,High,13,0.019,Express Air,43,JK15370100,4/7/2016 7:02
53190,9/24/2016 11:11,Medium,11,0.019,Express Air,99,DB3660107,10/3/2016 2:03
53190,9/24/2016 19:53,Medium,4,0.023,Express Air,99,CS11950124,10/15/2016 7:24
8545,6/17/2016 0:20,Low,13,0.01,Express Air,108,SH2063548,6/25/2016 1:46
8545,6/17/2016 22:52,Low,12,0.018,Delivery Truck,108,AH1003082,6/29/2016 15:11
10048,5/15/2016 17:48,Not Specified,3,0.02,Express Air,103,EG13900139,5/19/2016 1:40
10048,5/15/2016 19:02,Not Specified,10,0.002,Express Air,103,AM10360139,5/28/2016 21:09
10661,1/23/2016 1:39,Not Specified,13,0.006,Express Air,110,HW1493545,2/9/2016 10:57
14627,2/5/2016 8:56,Medium,9,0.01,Express Air,103,HD1478527,2/6/2016 21:29
22119,7/24/2016 16:02,Low,7,0.001,Express Air,114,TP2113027,8/21/2016 0:40
24737,12/6/2016 20:03,High,10,0.023,Delivery Truck,103,SC20380102,12/26/2016 9:20
24737,12/7/2016 11:49,High,8,0.012,Express Air,103,LM7065105,12/21/2016 20:02
29857,12/12/2016 17:15,Medium,7,0.024,Delivery Truck,112,GH1466527,12/17/2016 8:50
35364,12/12/2016 23:41,Critical,13,0.022,Express Air,117,BT11395139,12/25/2016 11:02
35364,12/13/2016 12:51,Critical,12,0.019,Delivery Truck,117,TH212357,12/30/2016 8:56
35364,12/12/2016 3:33,Critical,10,0.005,Delivery Truck,117,SJ2050051,12/21/2016 15:44
35364,12/13/2016 12:01,Critical,12,0.019,Express Air,117,AR1051027,12/18/2016 9:55
37281,8/29/2016 10:17,Medium,8,0.021,Express Air,59,MC1742559,9/14/2016 3:15
39301,3/23/2016 14:56,Medium,9,0.017,Express Air,109,TH1123561,4/22/2016 17:05
39367,8/6/2016 15:30,Critical,12,0.015,Express Air,113,BM165060,8/20/2016 13:20
39367,8/7/2016 17:28,Critical,10,0.021,Express Air,113,DM1301564,8/31/2016 1:04
44231,11/3/2016 2:08,Not Specified,9,0.025,Delivery Truck,106,TS2150559,11/6/2016 0:05
44231,11/4/2016 10:47,Not Specified,11,0.012,Express Air,106,VG217905,11/27/2016 3:51
44231,11/3/2016 8:27,Not Specified,13,0.023,Express Air,106,JW1595527,11/26/2016 23:21
45573,8/12/2016 6:30,High,3,0.004,Delivery Truck,103,EB1384045,8/26/2016 4:30
49412,3/8/2016 21:10,Critical,5,0.018,Delivery Truck,113,SS2041045,3/15/2016 10:23
50310,8/15/2016 7:48,Medium,13,0.006,Express Air,115,AH10195140,8/26/2016 9:53
50310,8/16/2016 22:59,Medium,14,0.022,Delivery Truck,115,AG27032,9/1/2016 17:29
50310,8/16/2016 6:41,Medium,10,0.007,Delivery Truck,115,LC7050110,8/24/2016 14:16
51072,10/3/2016 12:32,Critical,10,0.013,Delivery Truck,107,DR1294058,10/12/2016 21:26
52035,11/27/2016 21:23,High,8,0,Delivery Truck,59,DB13210139,12/12/2016 8:58
54560,7/16/2016 17:04,Critical,10,0.007,Delivery Truck,108,KN163907,8/15/2016 6:00
54560,7/17/2016 16:35,Critical,11,0.022,Express Air,108,FM1421545,7/18/2016 3:39
54947,2/22/2016 0:25,Not Specified,9,0.011,Delivery Truck,118,AS1028558,3/10/2016 9:59
54947,2/23/2016 0:46,Not Specified,10,0.008,Delivery Truck,118,NL1831027,3/24/2016 10:49
962,5/5/2016 8:07,Low,10,0.02,Delivery Truck,121,BD116057,5/19/2016 8:47
962,5/5/2016 14:57,Low,10,0.008,Delivery Truck,121,AR105707,5/25/2016 11:36
1799,3/6/2016 11:53,Not Specified,3,0.011,Delivery Truck,124,MC1784545,3/9/2016 15:04
1799,3/7/2016 15:48,Not Specified,13,0.017,Delivery Truck,124,GK1462092,3/10/2016 8:09
5698,5/21/2016 14:40,Medium,9,0.004,Delivery Truck,132,AZ1075093,6/18/2016 4:21
5698,5/21/2016 6:33,Medium,14,0.015,Delivery Truck,132,RP192707,5/29/2016 18:57
6144,6/22/2016 9:38,Critical,4,0.005,Delivery Truck,128,SC200507,7/3/2016 7:07
6144,6/21/2016 0:50,Critical,10,0.004,Delivery Truck,128,CA1196548,6/29/2016 2:56
8229,12/8/2016 8:57,Medium,3,0.023,Delivery Truck,134,TC211457,1/5/2017 21:30
8229,12/7/2016 14:19,Medium,14,0.02,Delivery Truck,134,KM672060,1/3/2017 3:08
8290,12/10/2016 15:31,Critical,9,0.015,Delivery Truck,134,GM144407,12/14/2016 8:57
11332,11/17/2016 3:13,Low,12,0.014,Delivery Truck,127,NC8415137,12/9/2016 4:19
11332,11/17/2016 12:54,Low,14,0,Express Air,127,GR1456096,11/18/2016 1:14
11392,9/6/2016 15:08,Low,12,0.025,Delivery Truck,138,DL1333058,10/2/2016 4:12
13380,7/15/2016 7:00,Critical,9,0.023,Delivery Truck,129,DL333061,8/4/2016 19:36
13606,4/27/2016 15:26,Not Specified,9,0.023,Delivery Truck,121,MP18175144,5/5/2016 5:29
14276,6/19/2016 13:16,Medium,14,0.011,Delivery Truck,122,BN1147027,6/25/2016 22:33
18179,8/2/2016 14:46,Not Specified,7,0.011,Delivery Truck,127,CD122807,8/29/2016 15:33
18179,8/2/2016 13:03,Not Specified,14,0.013,Delivery Truck,127,KB1660058,8/26/2016 22:30
18179,8/2/2016 20:09,Not Specified,12,0.006,Delivery Truck,127,AP1072058,8/15/2016 12:17
20389,8/11/2016 21:12,High,10,0.012,Delivery Truck,127,TB2105545,9/5/2016 16:30
20389,8/11/2016 6:49,High,12,0,Delivery Truck,127,PO919586,8/26/2016 16:27
20389,8/11/2016 12:35,High,4,0,Express Air,127,NF1859527,9/10/2016 11:43
20422,1/26/2016 18:04,High,13,0.022,Delivery Truck,96,JB5400117,1/27/2016 2:13
20838,4/11/2016 16:40,Not Specified,10,0.01,Delivery Truck,123,MC7275137,4/20/2016 12:30
20838,4/10/2016 15:32,Not Specified,9,0.003,Delivery Truck,123,MG768060,5/5/2016 9:41
21572,2/14/2016 4:01,Critical,9,0.014,Delivery Truck,136,PM1894059,2/18/2016 20:40
24933,7/27/2016 19:46,Low,16,0.002,Delivery Truck,123,JB1600048,8/19/2016 13:04
24933,7/26/2016 1:50,Low,16,0.024,Delivery Truck,123,NM18520120,8/25/2016 2:19
25031,8/24/2016 21:12,High,8,0.007,Delivery Truck,97,GZ4545108,8/26/2016 9:51
25031,8/23/2016 11:24,High,11,0,Delivery Truck,97,DK1298582,9/14/2016 20:08
26342,10/19/2016 2:41,Low,9,0.019,Delivery Truck,130,CK1276045,11/8/2016 7:45
26342,10/18/2016 2:29,Low,9,0.003,Delivery Truck,130,MS1798058,11/2/2016 0:38
26342,10/19/2016 9:55,Low,16,0.013,Delivery Truck,130,EH1412578,11/1/2016 1:38
26372,7/12/2016 4:49,Low,10,0.004,Delivery Truck,128,JM1586597,7/14/2016 7:58
